	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
ASV24809	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	NA	ASV24809
ASV24810	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Oceanivirga	NA	ASV24810
ASV24811	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	F0058	NA	ASV24811
ASV24812	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	NA	ASV24812
ASV24813	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium	NA	ASV24813
ASV24814	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	NA	ASV24814
ASV24815	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	ASV24815
ASV24816	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	NA	ASV24816
ASV24817	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	ASV24817
ASV24818	Bacteria	NA	NA	NA	NA	NA	NA	ASV24818
ASV24819	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	NA	ASV24819
ASV24820	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	NA	ASV24820
